mask_type,eta,mask_seed,ridge_alpha,nrmse
m_sequence,0.001,0,0.0,0.31653081975939634
m_sequence,0.001,0,1e-10,0.3138861653778844
m_sequence,0.001,0,1e-08,0.3082444988199111
m_sequence,0.001,0,1e-06,0.3380448561706924
m_sequence,0.001,0,0.0001,0.5391406870227049
m_sequence,0.001,0,0.01,0.939845136820579
m_sequence,0.001,1,0.0,0.309345550549366
m_sequence,0.001,1,1e-10,0.30618777409045506
m_sequence,0.001,1,1e-08,0.3147684737089702
m_sequence,0.001,1,1e-06,0.34796800166871494
m_sequence,0.001,1,0.0001,0.5556701125820158
m_sequence,0.001,1,0.01,0.9454554928332505
m_sequence,0.001,2,0.0,0.3244378552792877
m_sequence,0.001,2,1e-10,0.32076948024921975
m_sequence,0.001,2,1e-08,0.31285361736526274
m_sequence,0.001,2,1e-06,0.3396713138125179
m_sequence,0.001,2,0.0001,0.5393733767086505
m_sequence,0.001,2,0.01,0.9493748257529976
m_sequence,0.001,3,0.0,0.3244378552792877
m_sequence,0.001,3,1e-10,0.32076948024921975
m_sequence,0.001,3,1e-08,0.31285361736526274
m_sequence,0.001,3,1e-06,0.3396713138125179
m_sequence,0.001,3,0.0001,0.5393733767086505
m_sequence,0.001,3,0.01,0.9493748257529976
m_sequence,0.001,4,0.0,0.3172766459165151
m_sequence,0.001,4,1e-10,0.3124046084162161
m_sequence,0.001,4,1e-08,0.30091483622963305
m_sequence,0.001,4,1e-06,0.34463010479371076
m_sequence,0.001,4,0.0001,0.5687644655401868
m_sequence,0.001,4,0.01,0.9478386256722796
m_sequence,0.003,0,0.0,0.3290987607090753
m_sequence,0.003,0,1e-10,0.32898952276734755
m_sequence,0.003,0,1e-08,0.3222665338765034
m_sequence,0.003,0,1e-06,0.31745202416683443
m_sequence,0.003,0,0.0001,0.3765674983829639
m_sequence,0.003,0,0.01,0.7360390599186138
m_sequence,0.003,1,0.0,0.34403133464990476
m_sequence,0.003,1,1e-10,0.3439063625481879
m_sequence,0.003,1,1e-08,0.3371531960777646
m_sequence,0.003,1,1e-06,0.33015675682753715
m_sequence,0.003,1,0.0001,0.40426450904460765
m_sequence,0.003,1,0.01,0.7611875437938419
m_sequence,0.003,2,0.0,0.33793530256064913
m_sequence,0.003,2,1e-10,0.33778335293895767
m_sequence,0.003,2,1e-08,0.3283922584284375
m_sequence,0.003,2,1e-06,0.30788847683835224
m_sequence,0.003,2,0.0001,0.3825453187959092
m_sequence,0.003,2,0.01,0.7455562580451411
m_sequence,0.003,3,0.0,0.33793530256064913
m_sequence,0.003,3,1e-10,0.33778335293895767
m_sequence,0.003,3,1e-08,0.3283922584284375
m_sequence,0.003,3,1e-06,0.30788847683835224
m_sequence,0.003,3,0.0001,0.3825453187959092
m_sequence,0.003,3,0.01,0.7455562580451411
m_sequence,0.003,4,0.0,0.32862168305471795
m_sequence,0.003,4,1e-10,0.32849595999651526
m_sequence,0.003,4,1e-08,0.3205740941558188
m_sequence,0.003,4,1e-06,0.318414225988462
m_sequence,0.003,4,0.0001,0.3993439519827835
m_sequence,0.003,4,0.01,0.7617210977316191
m_sequence,0.01,0,0.0,0.3546949599363193
m_sequence,0.01,0,1e-10,0.35469356007776554
m_sequence,0.01,0,1e-08,0.3545559231195676
m_sequence,0.01,0,1e-06,0.3457946870913114
m_sequence,0.01,0,0.0001,0.33742379593702976
m_sequence,0.01,0,0.01,0.49872550454637926
m_sequence,0.01,1,0.0,0.4054576894959613
m_sequence,0.01,1,1e-10,0.4054558927047409
m_sequence,0.01,1,1e-08,0.40527892323782755
m_sequence,0.01,1,1e-06,0.3930395392018492
m_sequence,0.01,1,0.0001,0.35617532150820636
m_sequence,0.01,1,0.01,0.5490888393484614
m_sequence,0.01,2,0.0,0.36318750080522905
m_sequence,0.01,2,1e-10,0.3631863294410504
m_sequence,0.01,2,1e-08,0.3630711608949234
m_sequence,0.01,2,1e-06,0.3561260447672704
m_sequence,0.01,2,0.0001,0.3410137692737716
m_sequence,0.01,2,0.01,0.5115147712447399
m_sequence,0.01,3,0.0,0.36318750080522905
m_sequence,0.01,3,1e-10,0.3631863294410504
m_sequence,0.01,3,1e-08,0.3630711608949234
m_sequence,0.01,3,1e-06,0.3561260447672704
m_sequence,0.01,3,0.0001,0.3410137692737716
m_sequence,0.01,3,0.01,0.5115147712447399
m_sequence,0.01,4,0.0,0.36679055220773815
m_sequence,0.01,4,1e-10,0.3667887793610854
m_sequence,0.01,4,1e-08,0.36661440828296465
m_sequence,0.01,4,1e-06,0.3559206714028143
m_sequence,0.01,4,0.0001,0.34603811055942446
m_sequence,0.01,4,0.01,0.5480566659892406
m_sequence,0.03,0,0.0,0.3867624477772908
m_sequence,0.03,0,1e-10,0.38676243283859285
m_sequence,0.03,0,1e-08,0.38676095399746896
m_sequence,0.03,0,1e-06,0.3866139573523189
m_sequence,0.03,0,0.0001,0.3777606306015068
m_sequence,0.03,0,0.01,0.3874418429382191
m_sequence,0.03,1,0.0,0.48034266937513626
m_sequence,0.03,1,1e-10,0.4803426433331189
m_sequence,0.03,1,1e-08,0.4803400653940352
m_sequence,0.03,1,1e-06,0.48008447339060983
m_sequence,0.03,1,0.0001,0.4661134796237164
m_sequence,0.03,1,0.01,0.46185664421222833
m_sequence,0.03,2,0.0,0.4336246940025016
m_sequence,0.03,2,1e-10,0.43362468015884426
m_sequence,0.03,2,1e-08,0.4336233097415028
m_sequence,0.03,2,1e-06,0.43348731433872145
m_sequence,0.03,2,0.0001,0.42549430947533573
m_sequence,0.03,2,0.01,0.4137979202143374
m_sequence,0.03,3,0.0,0.4336246940025016
m_sequence,0.03,3,1e-10,0.43362468015884426
m_sequence,0.03,3,1e-08,0.4336233097415028
m_sequence,0.03,3,1e-06,0.43348731433872145
m_sequence,0.03,3,0.0001,0.42549430947533573
m_sequence,0.03,3,0.01,0.4137979202143374
m_sequence,0.03,4,0.0,0.40607336725772697
m_sequence,0.03,4,1e-10,0.4060733430352641
m_sequence,0.03,4,1e-08,0.4060709452769019
m_sequence,0.03,4,1e-06,0.4058337832800571
m_sequence,0.03,4,0.0001,0.3937016845732041
m_sequence,0.03,4,0.01,0.415117564371043
m_sequence,0.1,0,0.0,0.5067435888573019
m_sequence,0.1,0,1e-10,0.5067435885187688
m_sequence,0.1,0,1e-08,0.5067435550039256
m_sequence,0.1,0,1e-06,0.5067402040974991
m_sequence,0.1,0,0.0001,0.5064107859064046
m_sequence,0.1,0,0.01,0.49332188788307496
m_sequence,0.1,1,0.0,0.6704388244996397
m_sequence,0.1,1,1e-10,0.6704388240851042
m_sequence,0.1,1,1e-08,0.6704387830462025
m_sequence,0.1,1,1e-06,0.6704346793975449
m_sequence,0.1,1,0.0001,0.6700267186304748
m_sequence,0.1,1,0.01,0.6445916499307299
m_sequence,0.1,2,0.0,0.636275384016574
m_sequence,0.1,2,1e-10,0.6362753833919198
m_sequence,0.1,2,1e-08,0.6362753215511425
m_sequence,0.1,2,1e-06,0.6362691382129737
m_sequence,0.1,2,0.0001,0.6356580901093258
m_sequence,0.1,2,0.01,0.605041398064806
m_sequence,0.1,3,0.0,0.636275384016574
m_sequence,0.1,3,1e-10,0.6362753833919198
m_sequence,0.1,3,1e-08,0.6362753215511425
m_sequence,0.1,3,1e-06,0.6362691382129737
m_sequence,0.1,3,0.0001,0.6356580901093258
m_sequence,0.1,3,0.01,0.605041398064806
m_sequence,0.1,4,0.0,0.49397855973738153
m_sequence,0.1,4,1e-10,0.4939785594249167
m_sequence,0.1,4,1e-08,0.4939785284909814
m_sequence,0.1,4,1e-06,0.4939754357681599
m_sequence,0.1,4,0.0001,0.4936727396084638
m_sequence,0.1,4,0.01,0.48447434522949073
m_sequence,0.3,0,0.0,0.6736995847780343
m_sequence,0.3,0,1e-10,0.6736995847670615
m_sequence,0.3,0,1e-08,0.6736995836807498
m_sequence,0.3,0,1e-06,0.6736994750499441
m_sequence,0.3,0,0.0001,0.6736886156583679
m_sequence,0.3,0,0.01,0.6726381145854952
m_sequence,0.3,1,0.0,0.77743221085753
m_sequence,0.3,1,1e-10,0.7774322108518992
m_sequence,0.3,1,1e-08,0.7774322102944474
m_sequence,0.3,1,1e-06,0.7774321545493778
m_sequence,0.3,1,0.0001,0.7774265810115666
m_sequence,0.3,1,0.01,0.7768787098993591
m_sequence,0.3,2,0.0,0.7619722968989792
m_sequence,0.3,2,1e-10,0.7619722968910304
m_sequence,0.3,2,1e-08,0.7619722961040599
m_sequence,0.3,2,1e-06,0.761972217407175
m_sequence,0.3,2,0.0001,0.7619643490661158
m_sequence,0.3,2,0.01,0.7611906798444096
m_sequence,0.3,3,0.0,0.7619722968989792
m_sequence,0.3,3,1e-10,0.7619722968910304
m_sequence,0.3,3,1e-08,0.7619722961040599
m_sequence,0.3,3,1e-06,0.761972217407175
m_sequence,0.3,3,0.0001,0.7619643490661158
m_sequence,0.3,3,0.01,0.7611906798444096
m_sequence,0.3,4,0.0,0.6693879576522825
m_sequence,0.3,4,1e-10,0.6693879576381445
